operator;reference;license;rfc_date;raster;dl_normal;ul_normal;dl_max;ul_max
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47399;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26729E47400;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47310;24000000;4200000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47311;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47312;60000000;10200000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47313;126000000;21000000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47314;153000000;24600000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47315;159000000;25200000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47316;162000000;25200000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47317;168000000;25800000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47318;150000000;24000000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47319;168000000;25800000;330000000;46000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47320;153000000;24600000;280000000;43000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47321;138000000;22800000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47322;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47323;105000000;17400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47324;132000000;22200000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47325;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47326;42000000;7200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47327;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47330;30000000;4800000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47331;12000000;1800000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47332;24000000;4200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47333;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47334;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47335;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47336;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47337;132000000;22200000;255000000;41000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47338;120000000;19800000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47339;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47340;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47341;105000000;17400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47342;129000000;21600000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47343;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47344;105000000;17400000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47345;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47346;129000000;21600000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47347;135000000;22800000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47348;126000000;21000000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47349;126000000;21000000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47350;132000000;22200000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47351;132000000;22200000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47352;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47353;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47354;126000000;21000000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47355;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47356;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47357;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47358;120000000;19800000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47359;120000000;19800000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47360;72000000;12000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47361;72000000;12000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47362;60000000;10200000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26730E47365;24000000;4200000;100000000;17000000
